"No.","Player","Pos.x","Ht","Wt","Birth.Date","Var.7","Exp","College","playerurls","Salary","Season","Age","Tm","Lg","Pos.y","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","CareerG","CareerGS","CareerMP","CareerFG","CareerFGA","Career3P","Career3PA","Career2P","Career2PA","CareerFT","CareerFTA","CareerORB","CareerDRB","CareerTRB","CareerAST","CareerSTL","CareerBLK","CareerTOV","CareerPF","CareerPTS","Last2YrsG","Last2YrsGS","Last2YrsMP","Last2YrsFG","Last2YrsFGA","Last2Yrs3P","Last2Yrs3PA","Last2Yrs2P","Last2Yrs2PA","Last2YrsFT","Last2YrsFTA","Last2YrsORB","Last2YrsDRB","Last2YrsTRB","Last2YrsAST","Last2YrsSTL","Last2YrsBLK","Last2YrsTOV","Last2YrsPF","Last2YrsPTS","PlayoffSeason","PlayoffAge","PlayoffTm","PlayoffLg","PlayoffPos","PlayoffG","PlayoffGS","PlayoffMP","PlayoffFG","PlayoffFGA","PlayoffFG%","Playoff3P","Playoff3PA","Playoff3P%","Playoff2P","Playoff2PA","Playoff2P%","PlayoffeFG%","PlayoffFT","PlayoffFTA","PlayoffFT%","PlayoffORB","PlayoffDRB","PlayoffTRB","PlayoffAST","PlayoffSTL","PlayoffBLK","PlayoffTOV","PlayoffPF","PlayoffPTS","CareerPlayoffG","CareerPlayoffGS","CareerPlayoffMP","CareerPlayoffFG","CareerPlayoffFGA","CareerPlayoff3P","CareerPlayoff3PA","CareerPlayoff2P","CareerPlayoff2PA","CareerPlayoffFT","CareerPlayoffFTA","CareerPlayoffORB","CareerPlayoffDRB","CareerPlayoffTRB","CareerPlayoffAST","CareerPlayoffSTL","CareerPlayoffBLK","CareerPlayoffTOV","CareerPlayoffPF","CareerPlayoffPTS"
0,"Aaron Brooks","PG",6,161,"January 14, 1985","us",8,"University of Oregon","http://www.basketball-reference.com/players/b/brookaa01.html",2700000,"2015-16",31,"CHI","NBA","PG",69,0,1108,188,469,0.401,66,185,0.357,122,284,0.43,0.471,49,64,0.766,21,80,101,180,30,10,82,132,491,548,182,12356,2112,5109,761,2059,1351,3050,877,1044,229,764,993,1780,328,78,923,1096,5862,151,21,2993,532,1286,187,498,345,788,194,238,53,214,267,441,84,25,239,321,1445,"0",0,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,13,693,119,290,36,109,83,181,53,69,10,57,67,69,9,5,47,59,327
0,"Aaron Gordon","SF",6.75,220,"September 16, 1995","us",2,"University of Arizona","http://www.basketball-reference.com/players/g/gordoaa01.html",4351320,"2015-16",20,"ORL","NBA","PF",78,37,1863,274,579,0.473,42,142,0.296,232,437,0.531,0.509,129,193,0.668,154,353,507,128,59,55,66,153,719,125,45,2660,367,787,55,190,312,597,173,254,200,476,676,161,80,77,104,236,962,125,45,2660,367,787,55,190,312,597,173,254,200,476,676,161,80,77,104,236,962,"0",0,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,"Aaron Harrison","SG",6.5,210,"October 28, 1994","us",1,"University of Kentucky","http://www.basketball-reference.com/players/h/harriaa01.html",874636,"2015-16",21,"CHO","NBA","SG",21,0,93,5,19,0.263,3,10,0.3,2,9,0.222,0.342,5,12,0.417,4,11,15,2,6,0,4,10,18,21,0,93,5,19,3,10,2,9,5,12,4,11,15,2,6,0,4,10,18,21,0,93,5,19,3,10,2,9,5,12,4,11,15,2,6,0,4,10,18,"2015-16",21,"CHO","NBA","SG",2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,2,0,7,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
33,"Adreian Payne","PF",6.83333333333333,237,"February 19, 1991","us",2,"Michigan State University","http://www.basketball-reference.com/players/p/paynead01.html",2022240,"2015-16",24,"MIN","NBA","PF",52,2,486,53,145,0.366,9,32,0.281,44,113,0.389,0.397,17,26,0.654,20,91,111,29,16,11,36,77,132,84,24,1225,144,365,10,41,134,324,47,72,68,205,273,59,35,20,80,165,345,84,24,1225,144,365,10,41,134,324,47,72,68,205,273,59,35,20,80,165,345,"0",0,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,"Alan Anderson","SF",6.5,220,"October 16, 1982","us",7,"Michigan State University","http://www.basketball-reference.com/players/a/anderal01.html",1315448,"2015-16",33,"WAS","NBA","SG",13,0,192,21,59,0.356,12,37,0.324,9,22,0.409,0.458,11,15,0.733,1,26,27,14,4,1,2,25,65,300,66,6485,813,2004,317,919,496,1085,392,479,148,542,690,360,179,31,283,567,2335,87,19,1936,216,499,85,247,131,252,93,116,32,199,231,97,60,6,62,173,610,"0",0,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2,403,50,103,19,47,31,56,18,27,12,41,53,22,14,1,18,41,137
15,"Alan Williams","PF",6.66666666666667,260,"January 28, 1993","us",1,"University of California, Santa Barbara","http://www.basketball-reference.com/players/w/willial03.html",874636,"2015-16",23,"PHO","NBA","PF",10,0,68,10,24,0.417,0,0,0,10,24,0.417,0.417,9,14,0.643,14,24,38,5,4,5,6,15,29,10,0,68,10,24,0,0,10,24,9,14,14,24,38,5,4,5,6,15,29,10,0,68,10,24,0,0,10,24,9,14,14,24,38,5,4,5,6,15,29,"0",0,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,"Alec Burks","SG",6.5,214,"July 20, 1991","us",5,"University of Colorado","http://www.basketball-reference.com/players/b/burksal01.html",10154495,"2015-16",24,"UTA","NBA","SG",31,3,797,137,334,0.41,32,79,0.405,105,255,0.412,0.458,106,141,0.752,16,93,109,63,18,4,51,71,412,259,42,5965,954,2210,156,427,798,1783,687,915,188,569,757,504,166,41,377,523,2751,58,30,1696,258,634,58,147,200,487,212,270,35,188,223,145,35,9,103,135,786,"0",0,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,63,7,28,0,2,7,26,12,14,5,6,11,3,2,0,3,4,26
42,"Alexis Ajinca","C",7.16666666666667,248,"May 6, 1988","fr",6,"","http://www.basketball-reference.com/players/a/ajincal01.html",4600000,"2015-16",27,"NOP","NBA","C",59,17,861,150,315,0.476,0,1,0,150,314,0.478,0.476,52,62,0.839,75,194,269,31,19,36,54,134,352,254,61,3321,556,1105,12,38,544,1067,222,275,300,673,973,131,82,159,218,584,1346,127,25,1818,331,644,0,1,331,643,133,161,179,405,584,78,40,87,123,285,795,"0",0,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,4,4,0,0,4,4,0,0,0,1,1,1,1,0,0,2,8
21,"Alex Len","C",7.08333333333333,260,"June 16, 1993","ua",3,"University of Maryland","http://www.basketball-reference.com/players/l/lenal01.html",4823621,"2015-16",22,"PHO","NBA","C",78,46,1821,264,624,0.423,1,7,0.143,263,617,0.426,0.424,174,239,0.728,178,416,594,97,38,62,145,230,703,189,93,3701,476,1055,2,10,474,1045,267,374,359,788,1147,133,76,185,245,511,1221,147,90,3339,443,977,2,10,441,967,247,343,320,728,1048,129,72,167,219,443,1135,"0",0,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,"Al-Farouq Aminu","SF",6.75,220,"September 21, 1990","us",6,"Wake Forest University","http://www.basketball-reference.com/players/a/aminual01.html",7680965,"2015-16",25,"POR","NBA","SF",82,82,2341,299,719,0.416,126,349,0.361,173,370,0.468,0.503,115,156,0.737,98,401,499,138,72,53,120,171,839,459,256,10747,1215,2815,235,730,980,2085,569,781,650,1847,2497,540,434,263,573,865,3234,156,85,3707,446,1076,160,473,286,603,199,274,212,629,841,197,142,115,175,308,1251,"2015-16",25,"POR","NBA","SF",11,11,372,56,128,0.438,28,70,0.4,28,58,0.483,0.547,21,29,0.724,23,72,95,20,8,10,21,31,161,16,13,522,73,159,35,81,38,78,36,48,37,94,131,26,18,18,27,46,217
