"fit","lwr","upr","NBASalary","No.","Player","Pos.x","Ht","Wt","Birth.Date","Var.7","Exp","College","playerurls","Salary","Season","Age","Tm","Lg","Pos.y","G","GS","MP","FG","FGA","FGpct","ThreePt","ThreePtAttmpt","ThreePtpct","TwoPt","TwoPtAttmpt","TwoPtpct","eFGpct","FT","FTA","FTpct","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","CareerG","CareerGS","CareerMP","CareerFG","CareerFGA","Career3P","Career3PA","Career2P","Career2PA","CareerFT","CareerFTA","CareerORB","CareerDRB","CareerTRB","CareerAST","CareerSTL","CareerBLK","CareerTOV","CareerPF","CareerPTS","Last2YrsG","Last2YrsGS","Last2YrsMP","Last2YrsFG","Last2YrsFGA","Last2Yrs3P","Last2Yrs3PA","Last2Yrs2P","Last2Yrs2PA","Last2YrsFT","Last2YrsFTA","Last2YrsORB","Last2YrsDRB","Last2YrsTRB","Last2YrsAST","Last2YrsSTL","Last2YrsBLK","Last2YrsTOV","Last2YrsPF","Last2YrsPTS","PlayoffSeason","PlayoffAge","PlayoffTm","PlayoffLg","PlayoffPos","PlayoffG","PlayoffGS","PlayoffMP","PlayoffFG","PlayoffFGA","PlayoffFGpct","Playoff3P","Playoff3PA","Playoff3Ppct","Playoff2P","Playoff2PA","Playoff2Ppct","PlayoffeFGpct","PlayoffFT","PlayoffFTA","PlayoffFTpct","PlayoffORB","PlayoffDRB","PlayoffTRB","PlayoffAST","PlayoffSTL","PlayoffBLK","PlayoffTOV","PlayoffPF","PlayoffPTS","CareerPlayoffG","CareerPlayoffGS","CareerPlayoffMP","CareerPlayoffFG","CareerPlayoffFGA","CareerPlayoff3P","CareerPlayoff3PA","CareerPlayoff2P","CareerPlayoff2PA","CareerPlayoffFT","CareerPlayoffFTA","CareerPlayoffORB","CareerPlayoffDRB","CareerPlayoffTRB","CareerPlayoffAST","CareerPlayoffSTL","CareerPlayoffBLK","CareerPlayoffTOV","CareerPlayoffPF","CareerPlayoffPTS","Year"
2907547.75230029,2166796.12704888,3648299.3775517,4600000,42,"Alexis Ajinca","C",7.16666666666667,248,"May 6, 1988","fr",6,"","http://www.basketball-reference.com/players/a/ajincal01.html",4600000,"2015-16",27,"NOP","NBA","C",59,17,861,150,315,0.476,0,1,0,150,314,0.478,0.476,52,62,0.839,75,194,269,31,19,36,54,134,352,254,61,3321,556,1105,12,38,544,1067,222,275,300,673,973,131,82,159,218,584,1346,127,25,1818,331,644,0,1,331,643,133,161,179,405,584,78,40,87,123,285,795,"0",0,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,4,4,0,0,4,4,0,0,0,1,1,1,1,0,0,2,8,2016
3729006.6091658,2686450.02125495,4771563.19707665,4823621,21,"Alex Len","C",7.08333333333333,260,"June 16, 1993","ua",3,"University of Maryland","http://www.basketball-reference.com/players/l/lenal01.html",4823621,"2015-16",22,"PHO","NBA","C",78,46,1821,264,624,0.423,1,7,0.143,263,617,0.426,0.424,174,239,0.728,178,416,594,97,38,62,145,230,703,189,93,3701,476,1055,2,10,474,1045,267,374,359,788,1147,133,76,185,245,511,1221,147,90,3339,443,977,2,10,441,967,247,343,320,728,1048,129,72,167,219,443,1135,"0",0,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
11999681.1979229,10231083.1656924,13768279.2301535,26540100,42,"Al Horford","C",6.83333333333333,245,"June 3, 1986","do",9,"University of Florida","http://www.basketball-reference.com/players/h/horfoal01.html",26540100,"2015-16",29,"ATL","NBA","C",82,82,2631,529,1048,0.505,88,256,0.344,441,792,0.557,0.547,103,129,0.798,148,448,596,263,68,121,107,163,1249,578,574,19342,3544,6626,109,321,3435,6305,1091,1468,1377,3767,5144,1589,482,697,915,1399,8288,158,158,4949,1048,2013,99,292,949,1721,210,270,279,861,1140,507,136,219,207,284,2405,"2015-16",29,"ATL","NBA","C",10,10,327,54,116,0.466,11,28,0.393,43,88,0.489,0.513,15,16,0.938,13,52,65,30,12,24,17,25,134,74,73,2560,406,840,14,41,392,799,132,173,157,463,620,220,57,100,114,207,958,2016
9749768.3282961,8468279.63671802,11031257.0198742,10230179,7,"Al Jefferson","C",6.83333333333333,289,"January 4, 1985","us",12,"","http://www.basketball-reference.com/players/j/jeffeal01.html",10230179,"2015-16",31,"CHO","NBA","C",47,18,1096,245,505,0.485,0,0,0,245,505,0.485,0.485,72,111,0.649,57,244,301,70,30,41,34,117,562,813,649,24884,5815,11665,8,62,5807,11603,1918,2712,1949,5320,7269,1260,593,1054,1157,2156,13556,112,79,3088,731,1515,2,5,729,1510,180,276,156,693,849,183,77,125,102,256,1644,"2015-16",31,"CHO","NBA","C",7,5,168,42,83,0.506,0,0,0,42,83,0.506,0.506,9,13,0.692,14,29,43,8,4,3,6,12,93,21,12,551,121,245,0,1,121,244,23,34,44,106,150,22,14,19,16,45,265,2016
5864364.2117552,4855380.84823791,6873347.57527248,1551659,18,"Anderson Varejao","C",6.83333333333333,273,"September 28, 1982","br",12,"","http://www.basketball-reference.com/players/v/varejan01.html",1551659,"2015-16",33,"TOT","NBA","C",53,0,496,53,124,0.427,0,1,0,53,123,0.431,0.427,32,50,0.64,37,104,141,35,16,10,22,70,138,613,208,14959,1799,3520,1,42,1798,3478,944,1498,1492,2992,4484,724,534,402,584,1614,4543,79,26,1132,164,324,0,3,164,321,65,95,94,217,311,70,35,26,57,128,393,"2015-16",33,"GSW","NBA","C",17,0,93,5,14,0.357,0,0,0,5,14,0.357,0.357,10,19,0.526,12,9,21,13,2,2,2,17,20,88,14,1693,165,338,0,5,165,333,110,178,159,267,426,51,69,41,64,237,440,2016
8995018.21287661,6065816.60478752,11924219.8209657,22116750,0,"Andre Drummond","C",6.91666666666667,279,"August 10, 1993","us",4,"University of Connecticut","http://www.basketball-reference.com/players/d/drumman01.html",22116750,"2015-16",22,"DET","NBA","C",81,81,2666,552,1060,0.521,2,6,0.333,550,1054,0.522,0.522,208,586,0.355,395,803,1198,67,119,112,155,245,1314,304,254,9030,1733,3132,3,12,1730,3120,546,1438,1441,2389,3830,187,352,491,442,947,4015,163,163,5168,1046,2021,2,8,1044,2013,350,951,832,1470,2302,122,192,265,275,530,2444,"2015-16",22,"DET","NBA","C",4,4,131,28,54,0.519,0,1,0,28,53,0.528,0.519,11,34,0.324,12,24,36,0,1,6,4,8,67,4,4,131,28,54,0,1,28,53,11,34,12,24,36,0,1,6,4,8,67,2016
6737562.99287746,5532914.48463991,7942211.50111501,11027027,6,"Andrew Bogut","C",7,260,"November 28, 1984","au",11,"University of Utah","http://www.basketball-reference.com/players/b/bogutan01.html",11027027,"2015-16",31,"GSW","NBA","C",70,66,1451,175,279,0.627,1,1,1,174,278,0.626,0.629,24,50,0.48,121,371,492,162,33,114,83,221,375,644,630,18929,2913,5443,3,24,2910,5419,825,1479,1660,4101,5761,1471,422,1045,1134,2038,6654,137,131,3034,375,634,1,1,374,633,46,92,262,773,1035,342,72,227,189,409,797,"2015-16",31,"GSW","NBA","C",22,22,365,48,77,0.623,0,2,0,48,75,0.64,0.623,5,14,0.357,47,78,125,30,14,35,19,72,101,58,57,1304,149,265,0,3,149,262,21,58,136,304,440,105,34,87,75,201,319,2016
2832051.17622595,2119400.28682249,3544702.06562941,6500000,12,"Aron Baynes","C",6.83333333333333,260,"December 9, 1986","nz",4,"Washington State University","http://www.basketball-reference.com/players/b/baynear01.html",6500000,"2015-16",29,"DET","NBA","C",81,1,1233,194,384,0.505,0,2,0,194,382,0.508,0.505,126,165,0.764,140,244,384,51,21,52,67,151,514,220,22,2987,468,910,1,7,467,903,242,302,318,561,879,125,40,85,179,413,1179,151,18,2355,379,711,1,6,378,705,216,269,249,453,702,86,37,74,132,313,975,"2015-16",29,"DET","NBA","C",4,0,44,4,9,0.444,0,0,0,4,9,0.444,0.444,2,3,0.667,3,5,8,2,0,0,3,4,10,26,1,208,23,50,0,1,23,49,13,16,20,34,54,3,3,0,14,32,59,2016
4654724.48269234,3782250.26182616,5527198.70355853,1.7e+07,11,"Bismack Biyombo","C",6.75,255,"August 28, 1992","cd",5,"","http://www.basketball-reference.com/players/b/biyombi01.html",1.7e+07,"2015-16",23,"TOR","NBA","C",82,22,1808,156,288,0.542,0,1,0,156,287,0.544,0.542,142,226,0.628,182,473,655,29,19,133,71,225,454,366,158,7764,630,1242,0,1,630,1241,433,775,753,1625,2378,115,92,576,316,829,1693,146,43,3051,257,474,0,1,257,473,244,401,341,721,1062,45,37,232,123,365,758,"2015-16",23,"TOR","NBA","C",20,10,506,40,69,0.58,0,0,0,40,69,0.58,0.58,43,72,0.597,53,134,187,8,8,27,21,48,123,23,11,554,43,74,0,0,43,74,45,78,58,140,198,9,8,29,21,52,131,2016
4062275.10198962,3046790.6834803,5077759.52049894,7e+06,51,"Boban Marjanovic","C",7.25,290,"August 15, 1988","rs",1,"","http://www.basketball-reference.com/players/m/marjabo01.html",7e+06,"2015-16",27,"SAS","NBA","C",54,4,508,105,174,0.603,0,0,0,105,174,0.603,0.603,87,114,0.763,73,121,194,21,12,23,29,54,297,54,4,508,105,174,0,0,105,174,87,114,73,121,194,21,12,23,29,54,297,54,4,508,105,174,0,0,105,174,87,114,73,121,194,21,12,23,29,54,297,"2015-16",27,"SAS","NBA","C",7,0,42,8,12,0.667,0,0,0,8,12,0.667,0.667,8,9,0.889,4,10,14,3,0,2,3,10,24,7,0,42,8,12,0,0,8,12,8,9,4,10,14,3,0,2,3,10,24,2016
