"fit","lwr","upr","NBASalary","No.","Player","Pos.x","Ht","Wt","Birth.Date","Var.7","Exp","College","playerurls","Salary","Season","Age","Tm","Lg","Pos.y","G","GS","MP","FG","FGA","FGpct","ThreePt","ThreePtAttmpt","ThreePtpct","TwoPt","TwoPtAttmpt","TwoPtpct","eFGpct","FT","FTA","FTpct","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","CareerG","CareerGS","CareerMP","CareerFG","CareerFGA","Career3P","Career3PA","Career2P","Career2PA","CareerFT","CareerFTA","CareerORB","CareerDRB","CareerTRB","CareerAST","CareerSTL","CareerBLK","CareerTOV","CareerPF","CareerPTS","Last2YrsG","Last2YrsGS","Last2YrsMP","Last2YrsFG","Last2YrsFGA","Last2Yrs3P","Last2Yrs3PA","Last2Yrs2P","Last2Yrs2PA","Last2YrsFT","Last2YrsFTA","Last2YrsORB","Last2YrsDRB","Last2YrsTRB","Last2YrsAST","Last2YrsSTL","Last2YrsBLK","Last2YrsTOV","Last2YrsPF","Last2YrsPTS","PlayoffSeason","PlayoffAge","PlayoffTm","PlayoffLg","PlayoffPos","PlayoffG","PlayoffGS","PlayoffMP","PlayoffFG","PlayoffFGA","PlayoffFGpct","Playoff3P","Playoff3PA","Playoff3Ppct","Playoff2P","Playoff2PA","Playoff2Ppct","PlayoffeFGpct","PlayoffFT","PlayoffFTA","PlayoffFTpct","PlayoffORB","PlayoffDRB","PlayoffTRB","PlayoffAST","PlayoffSTL","PlayoffBLK","PlayoffTOV","PlayoffPF","PlayoffPTS","CareerPlayoffG","CareerPlayoffGS","CareerPlayoffMP","CareerPlayoffFG","CareerPlayoffFGA","CareerPlayoff3P","CareerPlayoff3PA","CareerPlayoff2P","CareerPlayoff2PA","CareerPlayoffFT","CareerPlayoffFTA","CareerPlayoffORB","CareerPlayoffDRB","CareerPlayoffTRB","CareerPlayoffAST","CareerPlayoffSTL","CareerPlayoffBLK","CareerPlayoffTOV","CareerPlayoffPF","CareerPlayoffPTS","Year"
2611851.82430773,1907647.61325913,3316056.03535633,4351320,0,"Aaron Gordon","SF",6.75,220,"September 16, 1995","us",2,"University of Arizona","http://www.basketball-reference.com/players/g/gordoaa01.html",4351320,"2015-16",20,"ORL","NBA","PF",78,37,1863,274,579,0.473,42,142,0.296,232,437,0.531,0.509,129,193,0.668,154,353,507,128,59,55,66,153,719,125,45,2660,367,787,55,190,312,597,173,254,200,476,676,161,80,77,104,236,962,125,45,2660,367,787,55,190,312,597,173,254,200,476,676,161,80,77,104,236,962,"0",0,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
3184734.41018383,2564663.0013253,3804805.81904236,1315448,9,"Alan Anderson","SF",6.5,220,"October 16, 1982","us",7,"Michigan State University","http://www.basketball-reference.com/players/a/anderal01.html",1315448,"2015-16",33,"WAS","NBA","SG",13,0,192,21,59,0.356,12,37,0.324,9,22,0.409,0.458,11,15,0.733,1,26,27,14,4,1,2,25,65,300,66,6485,813,2004,317,919,496,1085,392,479,148,542,690,360,179,31,283,567,2335,87,19,1936,216,499,85,247,131,252,93,116,32,199,231,97,60,6,62,173,610,"0",0,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2,403,50,103,19,47,31,56,18,27,12,41,53,22,14,1,18,41,137,2016
4539506.52730372,3637989.23196579,5441023.82264164,7680965,8,"Al-Farouq Aminu","SF",6.75,220,"September 21, 1990","us",6,"Wake Forest University","http://www.basketball-reference.com/players/a/aminual01.html",7680965,"2015-16",25,"POR","NBA","SF",82,82,2341,299,719,0.416,126,349,0.361,173,370,0.468,0.503,115,156,0.737,98,401,499,138,72,53,120,171,839,459,256,10747,1215,2815,235,730,980,2085,569,781,650,1847,2497,540,434,263,573,865,3234,156,85,3707,446,1076,160,473,286,603,199,274,212,629,841,197,142,115,175,308,1251,"2015-16",25,"POR","NBA","SF",11,11,372,56,128,0.438,28,70,0.4,28,58,0.483,0.547,21,29,0.724,23,72,95,20,8,10,21,31,161,16,13,522,73,159,35,81,38,78,36,48,37,94,131,26,18,18,27,46,217,2016
2916531.24281255,1340579.89515164,4492482.59047346,11131368,9,"Andre Iguodala","SF",6.5,215,"January 28, 1984","us",12,"University of Arizona","http://www.basketball-reference.com/players/i/iguodan01.html",11131368,"2015-16",32,"GSW","NBA","SF",65,1,1732,176,368,0.478,54,154,0.351,122,214,0.57,0.552,51,83,0.614,52,211,263,219,73,19,79,102,457,900,759,31836,4324,9361,844,2528,3480,6833,2617,3662,890,3939,4829,4134,1472,424,1933,1719,12109,142,1,3801,407,864,128,366,279,498,119,197,96,424,520,447,162,44,167,202,1061,"2015-16",32,"GSW","NBA","SF",24,3,767,78,164,0.476,25,65,0.385,53,99,0.535,0.552,32,57,0.561,35,70,105,90,29,10,23,37,213,93,54,3275,396,886,114,305,282,581,207,351,109,370,479,395,137,34,163,187,1113,2016
383781.612364191,-247015.965347826,1014579.19007621,2183072,21,"Andre Roberson","SF",6.58333333333333,210,"December 4, 1991","us",3,"University of Colorado","http://www.basketball-reference.com/players/r/roberan03.html",2183072,"2015-16",24,"OKC","NBA","SG",70,70,1553,136,274,0.496,32,103,0.311,104,171,0.608,0.555,33,54,0.611,79,172,251,47,53,42,35,133,337,177,151,3238,261,543,55,201,206,342,63,112,175,425,600,132,125,81,100,348,640,137,135,2839,228,475,53,188,175,287,56,102,139,367,506,117,106,71,81,274,565,"2015-16",24,"OKC","NBA","SG",18,18,471,40,86,0.465,12,37,0.324,28,49,0.571,0.535,8,20,0.4,25,76,101,14,23,19,11,45,100,20,18,480,40,89,12,37,28,52,8,20,25,78,103,14,23,19,11,45,100,2016
8593162.03492743,7577930.23072738,9608393.83912748,6006600,22,"Andrew Wiggins","SF",6.66666666666667,199,"February 23, 1995","ca",2,"University of Kansas","http://www.basketball-reference.com/players/w/wiggian01.html",6006600,"2015-16",20,"MIN","NBA","SF",81,81,2845,594,1294,0.459,57,190,0.3,537,1104,0.486,0.481,430,565,0.761,106,186,292,164,78,46,182,165,1675,163,163,5814,1091,2431,96,316,995,2115,784,1031,240,426,666,334,164,96,359,355,3062,163,163,5814,1091,2431,96,316,995,2115,784,1031,240,426,666,334,164,96,359,355,3062,"0",0,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
3971198.60325537,3182492.0391808,4759905.16732994,3573020,44,"Bojan Bogdanovic","SF",6.66666666666667,216,"April 18, 1989","ba",2,"","http://www.basketball-reference.com/players/b/bogdabo02.html",3573020,"2015-16",26,"BRK","NBA","SF",79,39,2115,324,749,0.433,129,338,0.382,195,411,0.474,0.519,110,132,0.833,36,219,255,99,29,5,115,119,887,157,67,3969,585,1325,220,594,365,731,197,238,86,382,468,167,63,14,193,223,1587,157,67,3969,585,1325,220,594,365,731,197,238,86,382,468,167,63,14,193,223,1587,"0",0,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,206,23,59,11,33,12,26,5,7,3,20,23,10,4,2,8,12,62,2016
2944273.59895833,2281305.20033309,3607241.99758356,1589640,20,"Bruno Caboclo","SF",6.75,218,"September 21, 1995","br",2,"","http://www.basketball-reference.com/players/c/cabocbr01.html",1589640,"2015-16",20,"TOR","NBA","SF",6,1,43,1,12,0.083,1,7,0.143,0,5,0,0.125,0,0,0,1,1,2,1,2,1,4,2,3,14,1,66,5,24,3,10,2,14,0,0,2,2,4,1,2,2,8,5,13,14,1,66,5,24,3,10,2,14,0,0,2,2,4,1,2,2,8,5,13,"0",0,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
14626695.1302394,12863206.9320929,16390183.3283858,24559380,7,"Carmelo Anthony","SF",6.66666666666667,240,"May 29, 1984","us",13,"Syracuse University","http://www.basketball-reference.com/players/a/anthoca01.html",24559380,"2015-16",31,"NYK","NBA","SF",72,72,2530,567,1307,0.434,105,310,0.339,462,997,0.463,0.474,334,403,0.829,98,458,556,299,62,38,176,180,1573,902,902,32796,8014,17683,1021,2966,6993,14717,5448,6710,1680,4313,5993,2844,970,437,2572,2635,22497,112,112,3958,925,2113,166,489,759,1624,523,640,170,650,820,421,102,55,265,267,2539,"0",0,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,66,2579,589,1414,73,228,516,1186,442,535,147,332,479,183,83,22,192,249,1693,2016
7149632.14314063,6235326.46369289,8063937.82258837,22116750,25,"Chandler Parsons","SF",6.83333333333333,230,"October 25, 1988","us",5,"University of Florida","http://www.basketball-reference.com/players/p/parsoch01.html",22116750,"2015-16",27,"DAL","NBA","SF",61,51,1799,320,651,0.492,104,251,0.414,216,400,0.54,0.571,93,136,0.684,29,256,285,169,46,21,95,114,837,340,324,11330,1873,3955,578,1522,1295,2433,552,783,331,1390,1721,1031,351,130,563,712,4876,127,117,3985,703,1480,236,598,467,882,232,329,93,515,608,330,115,40,191,254,1874,"0",0,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,525,93,213,29,80,64,133,20,29,13,73,86,38,5,4,24,39,235,2016
