,MODEL,All_Remove3,Remove Neg,First Test Model
,,All variables; backwards stepwise; remove <.05; repeat x3,All_Remove3; remove negative vars; re-run,Choose Variables
,Intercept,"$4,890,136","$10,322,265",
1,Ht,"$1,456,354","$2,276,995",x
2,Wt,,,
3,Exp,,,x
4,Age,"-$103,062","-$170,191",x
5,G,"-$68,397",,
6,GS,,,x
7,MP,,,
8,FG,,,
9,FGA,"$4,200","$2,880",
10,FGpct,,,x
11,ThreePt,,,
12,ThreePtAttmpt,,,
13,ThreePtpct,,,x
14,TwoPt,,,
15,TwoPtAttmpt,,,
16,TwoPtpct,,,x
17,eFGpct,,,
18,FT,,,
19,FTA,,,
20,FTpct,"$1,346,387",,x
21,ORB,"-$5,225",,x
22,DRB,"$6,300",,x
23,TRB,,,
24,AST,"$5,540","$5,329",x
25,STL,,,x
26,BLK,"$8,512",,x
27,TOV,,,x
28,PF,,,
29,PTS,,,x
30,CareerG,,,
31,CareerGS,,,x
32,CareerMP,,,
33,CareerFG,"$5,235","$1,228",
34,CareerFGA,"-$2,120",,
35,Career3P,,,x
36,Career3PA,$741,,x
37,Career2P,,,x
38,Career2PA,,,x
39,CareerFT,,,x
40,CareerFTA,,,x
41,CareerORB,"$1,869","$1,018",
42,CareerDRB,,,
43,CareerTRB,,,x
44,CareerAST,,,x
45,CareerSTL,,,x
46,CareerBLK,,,x
47,CareerTOV,,,x
48,CareerPF,,,
49,CareerPTS,,,x
50,PlayoffG,,,
51,PlayoffGS,,,x
52,PlayoffMP,,,
53,PlayoffFG,,,
54,PlayoffFGA,,,
55,PlayoffFGpct,,,
56,Playoff3P,,,
57,Playoff3PA,,,
58,Playoff3Ppct,,,x
59,Playoff2P,,,
60,Playoff2PA,,,
61,Playoff2Ppct,,,x
62,PlayoffeFGpct,,,
63,PlayoffFT,,,
64,PlayoffFTA,"$12,130","$30,521",
65,PlayoffFTpct,,,x
66,PlayoffORB,"$54,807","$21,269",
67,PlayoffDRB,,,
68,PlayoffTRB,,,x
69,PlayoffAST,,,x
70,PlayoffSTL,,,x
71,PlayoffBLK,,,x
72,PlayoffTOV,"-$29,553","-$39,244",x
73,PlayoffPF,,,
74,PlayoffPTS,,,x
75,CareerPlayoffG,,,
76,CareerPlayoffGS,,,x
77,CareerPlayoffMP,,,
78,CareerPlayoffFG,"-$3,289",,
79,CareerPlayoffFGA,,,
80,CareerPlayoff3P,,,x
81,CareerPlayoff3PA,,,x
82,CareerPlayoff2P,,,x
83,CareerPlayoff2PA,,,x
84,CareerPlayoffFT,"$8,362",,x
85,CareerPlayoffFTA,,,x
86,CareerPlayoffORB,,,
87,CareerPlayoffDRB,"-$9,124",,
88,CareerPlayoffTRB,,,x
89,CareerPlayoffAST,,,x
90,CareerPlayoffSTL,"$25,271","$6,291",x
91,CareerPlayoffBLK,,,x
92,CareerPlayoffTOV,,,x
93,CareerPlayoffPF,,,
94,CareerPlayoffPTS,,,x
