"fit","lwr","upr","NBASalary","No.","Player","Pos.x","Ht","Wt","Birth.Date","Var.7","Exp","College","playerurls","Salary","Season","Age","Tm","Lg","Pos.y","G","GS","MP","FG","FGA","FGpct","ThreePt","ThreePtAttmpt","ThreePtpct","TwoPt","TwoPtAttmpt","TwoPtpct","eFGpct","FT","FTA","FTpct","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","CareerG","CareerGS","CareerMP","CareerFG","CareerFGA","Career3P","Career3PA","Career2P","Career2PA","CareerFT","CareerFTA","CareerORB","CareerDRB","CareerTRB","CareerAST","CareerSTL","CareerBLK","CareerTOV","CareerPF","CareerPTS","Last2YrsG","Last2YrsGS","Last2YrsMP","Last2YrsFG","Last2YrsFGA","Last2Yrs3P","Last2Yrs3PA","Last2Yrs2P","Last2Yrs2PA","Last2YrsFT","Last2YrsFTA","Last2YrsORB","Last2YrsDRB","Last2YrsTRB","Last2YrsAST","Last2YrsSTL","Last2YrsBLK","Last2YrsTOV","Last2YrsPF","Last2YrsPTS","PlayoffSeason","PlayoffAge","PlayoffTm","PlayoffLg","PlayoffPos","PlayoffG","PlayoffGS","PlayoffMP","PlayoffFG","PlayoffFGA","PlayoffFGpct","Playoff3P","Playoff3PA","Playoff3Ppct","Playoff2P","Playoff2PA","Playoff2Ppct","PlayoffeFGpct","PlayoffFT","PlayoffFTA","PlayoffFTpct","PlayoffORB","PlayoffDRB","PlayoffTRB","PlayoffAST","PlayoffSTL","PlayoffBLK","PlayoffTOV","PlayoffPF","PlayoffPTS","CareerPlayoffG","CareerPlayoffGS","CareerPlayoffMP","CareerPlayoffFG","CareerPlayoffFGA","CareerPlayoff3P","CareerPlayoff3PA","CareerPlayoff2P","CareerPlayoff2PA","CareerPlayoffFT","CareerPlayoffFTA","CareerPlayoffORB","CareerPlayoffDRB","CareerPlayoffTRB","CareerPlayoffAST","CareerPlayoffSTL","CareerPlayoffBLK","CareerPlayoffTOV","CareerPlayoffPF","CareerPlayoffPTS","Year"
1550823.99021019,1020006.59954796,2081641.38087243,874636,9,"Aaron Harrison","SG",6.5,210,"October 28, 1994","us",1,"University of Kentucky","http://www.basketball-reference.com/players/h/harriaa01.html",874636,"2015-16",21,"CHO","NBA","SG",21,0,93,5,19,0.263,3,10,0.3,2,9,0.222,0.342,5,12,0.417,4,11,15,2,6,0,4,10,18,21,0,93,5,19,3,10,2,9,5,12,4,11,15,2,6,0,4,10,18,21,0,93,5,19,3,10,2,9,5,12,4,11,15,2,6,0,4,10,18,"2015-16",21,"CHO","NBA","SG",2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,2,0,7,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,2016
3704185.60809508,3257429.78077366,4150941.43541651,10154495,10,"Alec Burks","SG",6.5,214,"July 20, 1991","us",5,"University of Colorado","http://www.basketball-reference.com/players/b/burksal01.html",10154495,"2015-16",24,"UTA","NBA","SG",31,3,797,137,334,0.41,32,79,0.405,105,255,0.412,0.458,106,141,0.752,16,93,109,63,18,4,51,71,412,259,42,5965,954,2210,156,427,798,1783,687,915,188,569,757,504,166,41,377,523,2751,58,30,1696,258,634,58,147,200,487,212,270,35,188,223,145,35,9,103,135,786,"0",0,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,63,7,28,0,2,7,26,12,14,5,6,11,3,2,0,3,4,26,2016
1876466.53873941,1367580.97898199,2385352.09849683,18500000,23,"Allen Crabbe","SG",6.5,210,"April 9, 1992","us",3,"University of California","http://www.basketball-reference.com/players/c/crabbal01.html",18500000,"2015-16",23,"POR","NBA","SG",81,8,2105,311,678,0.459,112,285,0.393,199,393,0.506,0.541,98,113,0.867,27,189,216,99,63,16,64,192,832,147,17,2888,386,864,148,384,238,480,113,133,35,263,298,144,84,32,82,276,1033,132,17,2788,374,831,142,370,232,461,110,129,34,255,289,138,82,31,79,266,1000,"2015-16",23,"POR","NBA","SG",11,0,302,38,73,0.521,15,35,0.429,23,38,0.605,0.623,14,19,0.737,5,27,32,15,7,1,6,23,105,13,1,341,42,78,17,37,25,41,14,19,5,30,35,16,9,2,7,24,115,2016
2475789.17781594,1915234.27751126,3036344.07812062,3488000,2,"Anthony Morrow","SG",6.41666666666667,210,"September 27, 1985","us",8,"Georgia Institute of Technology","http://www.basketball-reference.com/players/m/morroan01.html",3488000,"2015-16",30,"OKC","NBA","SG",68,6,926,136,333,0.408,79,204,0.387,57,129,0.442,0.527,29,39,0.744,10,52,62,24,22,5,17,64,380,515,135,11566,1858,4128,766,1804,1092,2324,574,654,297,887,1184,469,293,73,374,853,5056,142,6,2732,421,948,220,529,201,419,108,128,50,207,257,84,76,16,55,199,1170,"2015-16",30,"OKC","NBA","SG",14,0,76,11,24,0.458,5,14,0.357,6,10,0.6,0.563,10,10,1,0,2,2,1,1,0,4,5,37,14,0,76,11,24,5,14,6,10,10,10,0,2,2,1,1,0,4,5,37,2016
5828468.39678337,5259231.03136324,6397705.7622035,12500000,40,"Arron Afflalo","SG",6.41666666666667,210,"October 15, 1985","us",9,"University of California, Los Angeles","http://www.basketball-reference.com/players/a/afflaar01.html",12500000,"2015-16",30,"NYK","NBA","SG",71,57,2371,354,799,0.443,91,238,0.382,263,561,0.469,0.5,110,131,0.84,23,243,266,144,25,10,82,142,909,648,489,18567,2733,6051,763,1984,1970,4067,1275,1554,321,1664,1985,1278,316,126,789,1321,7504,149,129,4873,729,1683,209,571,520,1112,277,329,50,463,513,273,66,17,198,309,1944,"0",0,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,19,644,81,191,16,62,65,129,31,40,7,54,61,42,10,6,23,65,209,2016
2583205.49020604,2111007.1672147,3055403.81319738,1.1e+07,25,"Austin Rivers","SG",6.33333333333333,200,"August 1, 1992","us",4,"Duke University","http://www.basketball-reference.com/players/r/riverau01.html",1.1e+07,"2015-16",23,"LAC","NBA","SG",67,7,1464,226,516,0.438,62,185,0.335,164,331,0.495,0.498,79,116,0.681,22,108,130,99,48,9,61,137,593,273,42,5784,766,1876,165,501,601,1375,333,523,91,429,520,541,167,41,277,539,2030,143,12,3027,429,1012,101,316,328,696,164,242,49,233,282,254,96,23,126,283,1123,"2015-16",23,"LAC","NBA","SG",6,2,144,26,61,0.426,4,17,0.235,22,44,0.5,0.459,6,9,0.667,4,12,16,16,3,0,7,12,62,20,4,394,72,166,17,52,55,114,18,28,10,30,40,32,13,4,19,40,179,2016
5919540.00747689,5046471.81278776,6792608.20216602,8269663,0,"Avery Bradley","SG",6.16666666666667,180,"November 26, 1990","us",6,"University of Texas at Austin","http://www.basketball-reference.com/players/b/bradlav01.html",8269663,"2015-16",25,"BOS","NBA","SG",76,72,2536,456,1019,0.447,147,407,0.361,309,612,0.505,0.52,96,123,0.78,48,172,220,158,117,19,109,164,1155,358,285,9784,1666,3803,412,1144,1254,2659,370,474,210,720,930,581,378,76,477,744,4114,153,149,4964,890,2031,271,759,619,1272,175,223,94,367,461,293,199,34,218,341,2226,"2015-16",25,"BOS","NBA","SG",1,1,33,7,16,0.438,1,7,0.143,6,9,0.667,0.469,3,3,1,2,1,3,1,1,1,1,2,18,21,21,605,68,176,13,56,55,120,25,32,11,40,51,20,23,8,25,46,174,2016
3768497.20306118,2919636.92228623,4617357.48383613,4008882,23,"Ben McLemore","SG",6.41666666666667,195,"February 11, 1993","us",3,"University of Kansas","http://www.basketball-reference.com/players/m/mclembe01.html",4008882,"2015-16",22,"SAC","NBA","SG",68,53,1443,195,455,0.429,67,185,0.362,128,270,0.474,0.502,74,103,0.718,34,114,148,79,52,10,99,140,531,232,190,6300,813,1965,302,873,511,1092,319,406,118,506,624,301,174,47,333,560,2247,150,135,4113,558,1286,207,576,351,710,204,263,65,324,389,219,129,29,237,359,1527,"0",0,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
7449697.35723004,7056171.83093374,7843222.88352635,22116750,3,"Bradley Beal","SG",6.41666666666667,207,"June 28, 1993","us",4,"University of Florida","http://www.basketball-reference.com/players/b/bealbr01.html",22116750,"2015-16",22,"WAS","NBA","SG",55,35,1708,359,799,0.449,105,271,0.387,254,528,0.481,0.515,135,176,0.767,41,147,188,162,54,11,112,117,958,247,213,8090,1485,3486,440,1109,1045,2377,539,690,195,718,913,736,251,76,453,519,3949,118,94,3815,722,1650,211,530,511,1120,265,342,98,331,429,356,130,29,235,253,1920,"0",0,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,876,156,377,45,116,111,261,88,108,29,81,110,96,34,14,49,50,445,2016
8038280.72697684,7340461.18875542,8736100.26519825,12606250,11,"Brandon Knight","SG",6.25,189,"December 2, 1991","us",5,"University of Kentucky","http://www.basketball-reference.com/players/k/knighbr03.html",12606250,"2015-16",24,"PHO","NBA","SG",52,50,1870,371,895,0.415,120,351,0.342,251,544,0.461,0.482,156,183,0.852,36,166,202,263,61,20,177,124,1018,328,315,10799,1883,4522,580,1613,1303,2909,879,1091,197,962,1159,1499,327,65,930,695,5225,115,111,3905,746,1783,245,672,501,1111,351,406,64,382,446,593,151,30,366,238,2088,"0",0,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
