"","x"
"1","Ht"
"2","Wt"
"3","Exp"
"4","Age"
"5","G"
"6","GS"
"7","MP"
"8","FG"
"9","FGA"
"10","FGpct"
"11","ThreePt"
"12","ThreePtAttmpt"
"13","ThreePtpct"
"14","TwoPt"
"15","TwoPtAttmpt"
"16","TwoPtpct"
"17","eFGpct"
"18","FT"
"19","FTA"
"20","FTpct"
"21","ORB"
"22","DRB"
"23","TRB"
"24","AST"
"25","STL"
"26","BLK"
"27","TOV"
"28","PF"
"29","PTS"
"30","CareerG"
"31","CareerGS"
"32","CareerMP"
"33","CareerFG"
"34","CareerFGA"
"35","Career3P"
"36","Career3PA"
"37","Career2P"
"38","Career2PA"
"39","CareerFT"
"40","CareerFTA"
"41","CareerORB"
"42","CareerDRB"
"43","CareerTRB"
"44","CareerAST"
"45","CareerSTL"
"46","CareerBLK"
"47","CareerTOV"
"48","CareerPF"
"49","CareerPTS"
"50","PlayoffG"
"51","PlayoffGS"
"52","PlayoffMP"
"53","PlayoffFG"
"54","PlayoffFGA"
"55","PlayoffFGpct"
"56","Playoff3P"
"57","Playoff3PA"
"58","Playoff3Ppct"
"59","Playoff2P"
"60","Playoff2PA"
"61","Playoff2Ppct"
"62","PlayoffeFGpct"
"63","PlayoffFT"
"64","PlayoffFTA"
"65","PlayoffFTpct"
"66","PlayoffORB"
"67","PlayoffDRB"
"68","PlayoffTRB"
"69","PlayoffAST"
"70","PlayoffSTL"
"71","PlayoffBLK"
"72","PlayoffTOV"
"73","PlayoffPF"
"74","PlayoffPTS"
"75","CareerPlayoffG"
"76","CareerPlayoffGS"
"77","CareerPlayoffMP"
"78","CareerPlayoffFG"
"79","CareerPlayoffFGA"
"80","CareerPlayoff3P"
"81","CareerPlayoff3PA"
"82","CareerPlayoff2P"
"83","CareerPlayoff2PA"
"84","CareerPlayoffFT"
"85","CareerPlayoffFTA"
"86","CareerPlayoffORB"
"87","CareerPlayoffDRB"
"88","CareerPlayoffTRB"
"89","CareerPlayoffAST"
"90","CareerPlayoffSTL"
"91","CareerPlayoffBLK"
"92","CareerPlayoffTOV"
"93","CareerPlayoffPF"
"94","CareerPlayoffPTS"
